ms_desde_inicio,diferencia,sobre_umbral,muestras_perdidas
313,30.23,1,24
833,0.29,0,25
1230,0.00,0,25
2855,0.27,0,27
3114,25.31,1,53
3368,122.95,1,81
3623,9.81,0,109
3875,16.35,0,124
4129,67.34,1,141
4385,0.67,0,157
4635,97.50,1,176
4891,1.62,0,205
5142,1.36,0,234
5393,1.19,0,262
5647,1.55,0,290
5904,0.70,0,318
6162,1.33,0,343
6417,0.93,0,372
6674,1.37,0,401
6932,0.82,0,427
7191,1.29,0,457
7491,0.42,0,480
7741,0.84,0,494
7991,1.25,0,508
8258,0.85,0,523
8510,0.78,0,537
8774,0.74,0,552
9040,67.26,1,567
9291,40.48,1,581
9558,6.43,0,596
9822,3.39,0,611
10087,2.26,0,626
10339,2.30,0,640
10604,2.52,0,655
10862,3.72,0,669
11120,34.04,1,684
11370,4.23,0,698
11620,14.85,0,712
11887,40.49,1,727
12152,6.02,0,742
12403,36.00,1,756
12653,2.07,0,770
12904,2.05,0,784
13167,41.19,1,799
13418,39.75,1,813
13683,6.90,0,828
13933,1.83,0,842
14184,2.51,0,856
14450,1.89,0,871
14715,40.37,1,886
14965,11.25,0,900
15215,42.15,1,914
15465,12.44,0,928
15731,10.32,0,943
15981,2.36,0,957
16247,37.04,1,972
16514,2.26,0,987
16780,5.20,0,1002
17047,3.22,0,1017
17314,1.70,0,1032
17579,35.33,1,1047
17829,2.72,0,1061
18095,2.96,0,1076
18345,1.89,0,1090
18610,26.76,1,1105
18860,33.96,1,1119
19111,30.13,1,1133
19376,2.22,0,1148
19626,2.40,0,1162
19876,2.08,0,1176
20141,38.28,1,1191
20391,6.82,0,1205
20657,2.51,0,1220
20908,38.35,1,1234
21158,2.03,0,1248
21415,7.96,0,1263
21676,113.34,1,1283
21929,2.43,0,1307
22180,0.91,0,1334
22431,94.44,1,1349
22686,4.96,0,1377
22944,7.72,0,1404
23201,6.29,0,1432
23452,8.69,0,1457
23702,8.27,0,1484
23952,11.47,0,1509
24202,8.41,0,1533
24457,11.30,0,1557
24708,12.00,0,1583
24958,7.60,0,1607
25214,22.01,1,1632
25466,4.64,0,1660
25725,7.26,0,1687
25981,9.64,0,1712
26232,9.00,0,1736
26492,9.87,0,1762
26749,9.60,0,1783
27006,84.66,1,1808
27485,7.43,0,1819
27737,61.91,1,1843
27995,20.80,1,1871
28246,15.68,0,1900
28497,17.33,0,1929
28754,19.67,1,1958
29004,16.84,0,1986
29260,7.07,0,2014
29512,21.73,1,2043
29767,18.95,1,2072
30024,6.75,0,2102
30274,7.31,0,2129
30532,23.71,1,2158
30784,15.02,0,2172
31034,6.90,0,2186
31299,25.23,1,2201
31549,18.74,1,2215
31800,23.46,1,2229
32065,42.09,1,2244
32330,24.22,1,2259
32582,22.83,1,2273
32847,23.56,1,2288
33099,23.30,1,2302
33365,24.26,1,2317
33631,22.18,1,2332
33881,19.82,1,2346
34145,21.11,1,2361
34412,21.03,1,2376
34678,40.87,1,2391
34931,7.03,0,2405
35193,7.23,0,2420
35445,9.46,0,2434
35710,8.57,0,2449
35960,7.64,0,2463
36227,8.35,0,2478
36477,10.35,0,2492
36742,7.62,0,2507
36993,9.64,0,2521
37246,129.95,1,2550
37972,0.12,0,2571
38229,4.01,0,2595
39232,2.81,0,2600
39539,1.96,0,2617
39801,96.22,1,2643
40053,37.27,1,2661
40304,0.37,0,2690
40554,0.00,0,2706
40813,55.42,1,2732
41066,0.00,0,2745
41322,48.20,1,2763
41572,27.82,1,2784
41876,6.53,0,2797
42143,66.42,1,2807
42415,5.42,0,2826
42703,54.09,1,2839
42957,20.01,1,2866
43207,8.68,0,2895
43457,15.06,0,2922
43708,24.52,1,2949
43965,16.82,0,2979
44222,14.44,0,3008
44473,33.70,1,3036
44723,12.75,0,3065
44981,28.99,1,3095
45231,20.66,1,3124
45487,30.06,1,3154
45737,20.57,1,3168
45990,50.14,1,3181
46255,25.67,1,3191
46513,3.72,0,3205
46769,50.52,1,3217
47019,23.27,1,3240
47269,10.56,0,3269
47522,13.75,0,3298
47778,19.38,1,3327
48035,27.22,1,3356
48285,13.40,0,3384
48543,25.29,1,3407
48794,29.55,1,3435
49044,28.15,1,3464
49294,22.48,1,3490
49593,22.86,1,3513
49854,53.75,1,3529
50105,93.23,1,3546
50365,33.07,1,3567
50621,54.22,1,3594
50878,67.71,1,3616
